tone	duration	order1	voice	order2	tonx	tony	abs.tone	rel.tone	tonx_m1	tony_m1	abs.tone_m1	rel.tone_m1	tonx_m2	tony_m2	abs.tone_m2	rel.tone_m2	tonx_p1	tony_p1	abs.tone_p1	rel.tone_p1	tonx_p2	tony_p2	abs.tone_p2	rel.tone_p2
Ef5	2	3	strings_v1	13	3	13	43	6	3	13	43	6	3	13	43	6	3	13	43	6	1	13	42	5
Ef5	2	3	strings_v1	14	3	13	43	6	3	13	43	6	3	13	43	6	1	13	42	5	1	13	42	5
D5	2	5	strings_v1	15	1	13	42	5	3	13	43	6	3	13	43	6	1	13	42	5	1	13	42	5
D5	2	5	strings_v1	16	1	13	42	5	1	13	42	5	3	13	43	6	1	13	42	5	1	13	42	5
D5	4	7	strings_v1	17	1	13	42	5	1	13	42	5	1	13	42	5	1	13	42	5	1	13	42	5
D5	4	7	strings_v1	18	1	13	42	5	1	13	42	5	1	13	42	5	1	13	42	5	1	13	42	5
D5	4	7	strings_v1	19	1	13	42	5	1	13	42	5	1	13	42	5	1	13	42	5	3	13	43	6
D5	4	7	strings_v1	20	1	13	42	5	1	13	42	5	1	13	42	5	3	13	43	6	3	13	43	6
Ef5	2	8	strings_v1	21	3	13	43	6	1	13	42	5	1	13	42	5	3	13	43	6	1	13	42	5
Ef5	2	8	strings_v1	22	3	13	43	6	3	13	43	6	1	13	42	5	1	13	42	5	1	13	42	5
D5	2	9	strings_v1	23	1	13	42	5	3	13	43	6	3	13	43	6	1	13	42	5	1	13	42	5
D5	2	9	strings_v1	24	1	13	42	5	1	13	42	5	3	13	43	6	1	13	42	5	1	13	42	5
D5	4	10	strings_v1	25	1	13	42	5	1	13	42	5	1	13	42	5	1	13	42	5	1	13	42	5
D5	4	10	strings_v1	26	1	13	42	5	1	13	42	5	1	13	42	5	1	13	42	5	1	13	42	5
D5	4	10	strings_v1	27	1	13	42	5	1	13	42	5	1	13	42	5	1	13	42	5	3	13	43	6
D5	4	10	strings_v1	28	1	13	42	5	1	13	42	5	1	13	42	5	3	13	43	6	3	13	43	6
Ef5	2	11	strings_v1	29	3	13	43	6	1	13	42	5	1	13	42	5	3	13	43	6	1	13	42	5
Ef5	2	11	strings_v1	30	3	13	43	6	3	13	43	6	1	13	42	5	1	13	42	5	1	13	42	5
D5	2	12	strings_v1	31	1	13	42	5	3	13	43	6	3	13	43	6	1	13	42	5	1	13	42	5
D5	2	12	strings_v1	32	1	13	42	5	1	13	42	5	3	13	43	6	1	13	42	5	1	13	42	5
D5	4	14	strings_v1	33	1	13	42	5	1	13	42	5	1	13	42	5	1	13	42	5	1	13	42	5
D5	4	14	strings_v1	34	1	13	42	5	1	13	42	5	1	13	42	5	1	13	42	5	1	13	42	5
D5	4	14	strings_v1	35	1	13	42	5	1	13	42	5	1	13	42	5	1	13	42	5	3	15	50	1
D5	4	14	strings_v1	36	1	13	42	5	1	13	42	5	1	13	42	5	3	15	50	1	3	15	50	1
Bf5	4	15	strings_v1	37	3	15	50	1	1	13	42	5	1	13	42	5	3	15	50	1	3	15	50	1
Bf5	4	15	strings_v1	38	3	15	50	1	3	15	50	1	1	13	42	5	3	15	50	1	3	15	50	1
Bf5	4	15	strings_v1	39	3	15	50	1	3	15	50	1	3	15	50	1	3	15	50	1	3	15	50	1
Bf5	4	15	strings_v1	40	3	15	50	1	3	15	50	1	3	15	50	1	3	15	50	1	3	15	50	1
Bf5	2	17	strings_v1	45	3	15	50	1	3	15	50	1	3	15	50	1	3	15	50	1	1	15	49	12
Bf5	2	17	strings_v1	46	3	15	50	1	3	15	50	1	3	15	50	1	1	15	49	12	1	15	49	12
A5	2	18	strings_v1	47	1	15	49	12	3	15	50	1	3	15	50	1	1	15	49	12	4	14	47	10
A5	2	18	strings_v1	48	1	15	49	12	1	15	49	12	3	15	50	1	4	14	47	10	4	14	47	10
G5	4	20	strings_v1	49	4	14	47	10	1	15	49	12	1	15	49	12	4	14	47	10	4	14	47	10
G5	4	20	strings_v1	50	4	14	47	10	4	14	47	10	1	15	49	12	4	14	47	10	4	14	47	10
G5	4	20	strings_v1	51	4	14	47	10	4	14	47	10	4	14	47	10	4	14	47	10	4	14	47	10
G5	4	20	strings_v1	52	4	14	47	10	4	14	47	10	4	14	47	10	4	14	47	10	4	14	47	10
G5	2	21	strings_v1	53	4	14	47	10	4	14	47	10	4	14	47	10	4	14	47	10	7	13	45	8
G5	2	21	strings_v1	54	4	14	47	10	4	14	47	10	4	14	47	10	7	13	45	8	7	13	45	8
F5	2	22	strings_v1	55	7	13	45	8	4	14	47	10	4	14	47	10	7	13	45	8	3	13	43	6
F5	2	22	strings_v1	56	7	13	45	8	7	13	45	8	4	14	47	10	3	13	43	6	3	13	43	6
Ef5	4	23	strings_v1	57	3	13	43	6	7	13	45	8	7	13	45	8	3	13	43	6	3	13	43	6
Ef5	4	23	strings_v1	58	3	13	43	6	3	13	43	6	7	13	45	8	3	13	43	6	3	13	43	6
Ef5	4	23	strings_v1	59	3	13	43	6	3	13	43	6	3	13	43	6	3	13	43	6	3	13	43	6
Ef5	4	23	strings_v1	60	3	13	43	6	3	13	43	6	3	13	43	6	3	13	43	6	3	13	43	6
